Metric,Value
Total Trades,211218
Unique Traders,32
Unique Coins,246
Date Range Start,2023-05-01
Date Range End,2025-05-01
Total PnL,10254486.949306002
Average PnL,48.549304270024344
Median PnL,0.0
PnL Std Dev,917.9897909244945
Win Rate,0.41124809438589516
Loss Rate,0.08303743052201991
Profit Factor,4.477527265456697
Average Win,152.0011268246089
Average Loss,-168.127426310508
Max Profit Trade,135329.0901
Max Loss Trade,-117990.1041
Average Trade Size USD,5639.191610563493
Median Trade Size USD,597.02
Average Fee,1.1639595506146767
Total Fees,245849.20836173077
Sharpe Like Ratio,0.0528865405149343
Max Drawdown,-443038.3497249987
